"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 22 10:31:32 AMT 2024","Mon Jul 22 10:31:33 AMT 2024","695","","Create Booking Suite","","","","Test Create Booking","Test to create a booking and verify the response."
"passed","Mon Jul 22 10:31:36 AMT 2024","Mon Jul 22 10:31:36 AMT 2024","848","","Partial Update Booking Suite","","","","Test Negative Partial Update Booking without Token","Test to verify response when partially updating a booking without a token."
"passed","Mon Jul 22 10:31:35 AMT 2024","Mon Jul 22 10:31:36 AMT 2024","633","","Partial Update Booking Suite","","","","Test Negative Partial Update Booking with Invalid Token","Test to verify response when partially updating a booking with an invalid token."
"failed","Mon Jul 22 10:31:37 AMT 2024","Mon Jul 22 10:31:37 AMT 2024","604","","Delete Booking Suite","","","","Test Delete Booking by ID","Test to delete a booking by ID and verify the response."
"passed","Mon Jul 22 10:31:31 AMT 2024","Mon Jul 22 10:31:32 AMT 2024","680","","Ping Tests","","","","Health Check Test","This test checks if the health endpoint is reachable and returns the expected status code."
"broken","Mon Jul 22 10:31:34 AMT 2024","Mon Jul 22 10:31:34 AMT 2024","0","","Update Booking Suite","","","","Test Negative Update Booking","Test to verify response when updating a booking with an invalid token."
"passed","Mon Jul 22 10:31:34 AMT 2024","Mon Jul 22 10:31:34 AMT 2024","590","","GET Booking Suite","","","","Test getting booking by ID","This test retrieves a booking by ID and checks the response status and content."
"passed","Mon Jul 22 10:31:32 AMT 2024","Mon Jul 22 10:31:32 AMT 2024","602","","Create Token Booking Suite","","","","Test Booking Token Creation","Test to create authentication token for booking API."
"skipped","Mon Jul 22 10:31:34 AMT 2024","Mon Jul 22 10:31:34 AMT 2024","0","","Update Booking Suite","","","","Test Update Booking","Test to update a booking and verify the response."
"passed","Mon Jul 22 10:31:33 AMT 2024","Mon Jul 22 10:31:34 AMT 2024","954","","GET Booking Suite","","","","Test getting all bookings","This test retrieves all bookings and checks the response status and content."
"passed","Mon Jul 22 10:31:34 AMT 2024","Mon Jul 22 10:31:35 AMT 2024","600","","Partial Update Booking Suite","","","","Test Partial Update Booking","Test to partially update a booking and verify the response."
